Packsize Number,"ID",Name,length,width,height,Volume,Cost,Max Weight
1,12.5011.2509.75,125011250975(B),12.50,11.25,9.75,5.1693,$13.57,30.00
2,14.0011.5011.50,140011501150(J),14.00,11.50,11.50,6.3090,$18.27,30.00
3,15.0014.5006.50,150014500650(F),15.00,14.50,6.50,5.6840,$14.01,30.00
4,18.2512.0005.00,182512000500(G),18.25,12.00,5.00,5.1424,$10.90,30.00
5,18.5010.2505.75,185010250575(G),18.50,10.25,5.75,4.9297,$10.85,30.00
6,19.2510.0006.50,192510000650(H),19.25,10.00,6.50,5.3142,$12.42,30.00
7,19.2514.2513.25,192514251325(F),19.25,14.25,13.25,9.9748,$35.70,30.00
8,19.5014.2505.00,195014250500(K),19.50,14.25,5.00,6.2031,$13.81,30.00
9,20.0019.2513.00,200019251300(S),20.00,19.25,13.00,12.4340,$49.07,30.00
10,21.0010.7503.75,210010750375(G),21.00,10.75,3.75,4.7891,$8.49,30.00
11,23.2514.5008.25,232514500825(R),23.25,14.50,8.25,9.0078,$27.41,30.00
12,23.5010.7510.00,235010751000(J),23.50,10.75,10.00,8.2656,$24.91,30.00
13,27.2515.2508.25,272515250825(N),27.25,15.25,8.25,10.6415,$33.76,30.00
14,28.0018.0014.25,280018001425(T),28.00,18.00,14.25,16.1042,$70.29,30.00
15,28.5018.7505.25,285018750525(P),28.50,18.75,5.25,10.8672,$27.78,30.00
16,29.2512.0010.75,292512001075(Q),29.25,12.00,10.75,11.0339,$37.11,30.00
17,30.0016.7511.50,300016751150(S),30.00,16.75,11.50,14.4462,$56.66,30.00
18,12.0009.5009.50,120009500950(B),12.00,9.50,9.50,4.4201,$10.74,30.00
19,12.0009.5004.00,120009500400(C),12.00,9.50,4.00,2.7778,$4.59,30.00
20,13.0009.5004.00,130009500400(C),13.00,9.50,4.00,2.9653,$4.96,30.00
21,13.0010.0004.00,130010000400(C),13.00,10.00,4.00,3.0833,$5.22,30.00
22,13.0010.0004.50,130010000450(C),13.00,10.00,4.50,3.2431,$5.86,30.00
23,13.0010.0005.00,130010000500(C),13.00,10.00,5.00,3.4028,$6.50,30.00
24,13.0010.0006.50,130010000650(C),13.00,10.00,6.50,3.8819,$8.41,30.00
25,13.0010.0007.50,130010000750(B),13.00,10.00,7.50,4.2014,$9.68,30.00
26,13.0010.0010.00,130010001000(B),13.00,10.00,10.00,5.0000,$12.87,30.00
27,13.0010.0006.00,130010000600(C),13.00,10.00,6.00,3.7222,$7.77,30.00
28,13.0010.0005.50,130010000550(C),13.00,10.00,5.50,3.5625,$7.13,30.00
29,13.0010.0008.50,130010000850(B),13.00,10.00,8.50,4.5208,$10.96,30.00
30,13.0010.0007.00,130010000700(B),13.00,10.00,7.00,4.0417,$9.05,30.00
31,14.0011.0008.00,140011000800(B),14.00,11.00,8.00,4.9167,$12.21,30.00
32,14.0011.0009.00,140011000900(B),14.00,11.00,9.00,5.2639,$13.72,30.00
33,14.0009.5007.50,140009500750(B),14.00,9.50,7.50,4.2951,$9.91,30.00
34,14.0010.0010.00,140010001000(B),14.00,10.00,10.00,5.2778,$13.85,30.00
35,14.0010.5005.00,140010500500(G),14.00,10.50,5.00,3.7431,$7.34,30.00
36,14.0011.0005.50,140011000550(G),14.00,11.00,5.50,4.0486,$8.44,30.00
37,14.0011.0006.00,140011000600(G),14.00,11.00,6.00,4.2222,$9.19,30.00
38,14.0010.5004.00,140010500400(G),14.00,10.50,4.00,3.4028,$5.90,30.00
39,14.0011.0007.00,140011000700(B),14.00,11.00,7.00,4.5694,$10.70,30.00
40,14.0010.5007.50,140010500750(B),14.00,10.50,7.50,4.5938,$10.94,30.00
41,14.0010.5010.50,140010501050(D),14.00,10.50,10.50,5.6146,$15.26,30.00
42,14.0010.5009.00,140010500900(B),14.00,10.50,9.00,5.1042,$13.10,30.00
43,14.0011.0004.00,140011000400(G),14.00,11.00,4.00,3.5278,$6.18,30.00
44,14.0010.5004.50,140010500450(G),14.00,10.50,4.50,3.5729,$6.62,30.00
