Packsize Number,ID,Name,Length,Width,Height,Max Weight,Volume,Cost
1,12.5011.2509.75,125011250975(B),12.5,9.75,11.25,30,1371.09375,13.5654817708333
2,14.0011.5011.50,140011501150(J),14,11.5,11.5,30,1851.5,18.2715769444444
3,15.0014.5006.50,150014500650(F),15,6.5,14.5,30,1413.75,14.0122944444444
4,18.2512.0005.00,182512000500(G),18.25,5,12,30,1095,10.9048152777778
5,18.5010.2505.75,185010250575(G),18.5,5.75,10.25,30,1090.34375,10.8450884375
6,19.2510.0006.50,192510000650(H),19.25,6.5,10,30,1251.25,12.4215340277778
7,19.2514.2513.25,192514251325(F),19.25,13.25,14.25,30,3634.640625,35.6998270659722
8,19.5014.2505.00,195014250500(K),19.5,5,14.25,30,1389.375,13.8139
9,20.0019.2513.00,200019251300(S),20,13,19.25,30,5005,49.0685319444444
10,21.0010.7503.75,210010750375(G),21,3.75,10.75,30,846.5625,8.48763125
11,23.2514.5008.25,232514500825(R),23.25,8.25,14.5,30,2781.28125,27.4142853125
12,23.5010.7510.00,235010751000(J),23.5,10,10.75,30,2526.25,24.90638125
13,27.2515.2508.25,272515250825(N),27.25,8.25,15.25,30,3428.390625,33.7603062326389
14,28.0018.0014.25,280018001425(T),28,14.25,18,30,7182,70.2899516666667
15,28.5018.7505.25,285018750525(P),28.5,5.25,18.75,30,2805.46875,27.7773671875
16,29.2512.0010.75,292512001075(Q),29.25,10.75,12,30,3773.25,37.1087672916667
17,30.0016.7511.50,300016751150(S),30,11.5,16.75,30,5778.75,56.6605951388889
18,12.0009.5009.50,120009500950(B),12,9.5,9.5,30,1083,10.7386997222222
19,12.0009.5004.00,120009500400(C),12,4,9.5,30,456,4.58572444444444
20,13.0009.5004.00,130009500400(C),13,4,9.5,30,494,4.96478944444444
21,13.0010.0004.00,130010000400(C),13,4,10,30,520,5.22343333333333
22,13.0010.0004.50,130010000450(C),13,4.5,10,30,585,5.86056388888889
23,13.0010.0005.00,130010000500(C),13,5,10,30,650,6.49769444444444
24,13.0010.0006.50,130010000650(C),13,6.5,10,30,845,8.40908611111111
25,13.0010.0007.50,130010000750(B),13,7.5,10,30,975,9.68334722222222
26,13.0010.0010.00,130010001000(B),13,10,10,30,1300,12.869
27,13.0010.0006.00,130010000600(C),13,6,10,30,780,7.77195555555556
28,13.0010.0005.50,130010000550(C),13,5.5,10,30,715,7.134825
29,13.0010.0008.50,130010000850(B),13,8.5,10,30,1105,10.9576083333333
30,13.0010.0007.00,130010000700(B),13,7,10,30,910,9.04621666666667
31,14.0011.0008.00,140011000800(B),14,8,11,30,1232,12.2083266666667
32,14.0011.0009.00,140011000900(B),14,9,11,30,1386,13.7156522222222
33,14.0009.5007.50,140009500750(B),14,7.5,9.5,30,997.5,9.90658472222222
34,14.0010.0010.00,140010001000(B),14,10,10,30,1400,13.8514444444444
35,14.0010.5005.00,140010500500(G),14,5,10.5,30,735,7.34006388888889
36,14.0011.0005.50,140011000550(G),14,5.5,11,30,847,8.44001277777778
37,14.0011.0006.00,140011000600(G),14,6,11,30,924,9.19367555555556
38,14.0010.5004.00,140010500400(G),14,4,10.5,30,588,5.90063444444444
39,14.0011.0007.00,140011000700(B),14,7,11,30,1078,10.7010011111111
40,14.0010.5007.50,140010500750(B),14,7.5,10.5,30,1102.5,10.9386375
41,14.0010.5010.50,140010501050(D),14,10.5,10.5,30,1543.5,15.2569258333333
42,14.0010.5009.00,140010500900(B),14,9,10.5,30,1323,13.0977816666667
43,14.0011.0004.00,140011000400(G),14,4,11,30,616,6.17902444444444
44,14.0010.5004.50,140010500450(G),14,4.5,10.5,30,661.5,6.62034916666667
45,14.0010.5009.50,140010500950(B),14,9.5,10.5,30,1396.5,13.8174963888889
46,14.0008.0005.00,140008000500(C),14,5,8,30,560,5.60863333333333
47,14.0010.5006.50,140010500650(B),14,6.5,10.5,30,955.5,9.49920805555555
48,14.0010.5008.00,140010500800(B),14,8,10.5,30,1176,11.6583522222222
49,14.0010.0006.00,140010000600(C),14,6,10,30,840,8.36531111111111
50,14.0011.0011.00,140011001100(D),14,11,11,30,1694,16.7303033333333
51,14.0011.0007.50,140011000750(B),14,7.5,11,30,1155,11.4546638888889
52,14.0010.5005.50,140010500550(G),14,5.5,10.5,30,808.5,8.05977861111111
53,14.0011.0004.50,140011000450(G),14,4.5,11,30,693,6.93268722222222
54,14.0010.5008.50,140010500850(B),14,8.5,10.5,30,1249.5,12.3780669444444
55,14.0009.5009.50,140009500950(B),14,9.5,9.5,30,1263.5,12.5138591666667
56,14.0010.5006.00,140010500600(G),14,6,10.5,30,882,8.77949333333333
57,14.0010.0006.50,140010000650(C),14,6.5,10,30,910,9.05107777777778
58,14.0011.0006.50,140011000650(B),14,6.5,11,30,1001,9.94733833333333
59,14.0010.0005.00,140010000500(C),14,5,10,30,700,6.99377777777778
60,14.0010.5007.00,140010500700(B),14,7,10.5,30,1029,10.2189227777778
61,15.0010.0010.00,150010001000(B),15,10,10,30,1500,14.8338888888889
62,15.0011.0008.50,150011000850(B),15,8.5,11,30,1402.5,13.8813527777778
63,15.0011.0009.00,150011000900(B),15,9,11,30,1485,14.6884666666667
64,15.0011.0009.50,150011000950(B),15,9.5,11,30,1567.5,15.4955805555556
65,15.0011.0011.00,150011001100(D),15,11,11,30,1815,17.9169222222222
66,15.0011.5005.50,150011500550(G),15,5.5,11.5,30,948.75,9.44587222222222
67,15.0011.5006.00,150011500600(G),15,6,11.5,30,1035,10.2893416666667
68,15.0011.5006.50,150011500650(B),15,6.5,11.5,30,1121.25,11.1328111111111
69,15.0011.5007.00,150011500700(B),15,7,11.5,30,1207.5,11.9762805555556
70,15.0011.5007.50,150011500750(B),15,7.5,11.5,30,1293.75,12.81975
71,15.0011.5008.00,150011500800(B),15,8,11.5,30,1380,13.6632194444444
72,15.0011.5008.50,150011500850(B),15,8.5,11.5,30,1466.25,14.5066888888889
73,15.0011.5009.00,150011500900(B),15,9,11.5,30,1552.5,15.3501583333333
74,15.0011.5009.50,150011500950(B),15,9.5,11.5,30,1638.75,16.1936277777778
75,15.0011.5010.00,150011501000(B),15,10,11.5,30,1725,17.0370972222222
76,15.0011.5011.50,150011501150(J),15,11.5,11.5,30,1983.75,19.5675055555556
77,15.0010.5010.50,150010501050(D),15,10.5,10.5,30,1653.75,16.33905
78,15.0011.0008.00,150011000800(B),15,8,11,30,1320,13.0742388888889
79,15.0011.5004.00,150011500400(G),15,4,11.5,30,690,6.91546388888889
80,15.0011.5005.00,150011500500(G),15,5,11.5,30,862.5,8.60240277777778
81,15.0010.0008.00,150010000800(B),15,8,10,30,1200,11.8962777777778
82,15.0012.0005.00,150012000500(G),15,5,12,30,900,8.97325
83,15.0011.5004.50,150011500450(G),15,4.5,11.5,30,776.25,7.75893333333333
84,15.0012.0004.50,150012000450(G),15,4.5,12,30,810,8.093425
85,15.0012.0012.00,150012001200(F),15,12,12,30,2160,21.2908
86,15.0007.5006.50,150007500650(C),15,6.5,7.5,30,731.25,7.2935
87,15.0010.0004.50,150010000450(C),15,4.5,10,30,675,6.75545833333333
88,15.0012.0010.50,150012001050(D),15,10.5,12,30,1890,18.651325
89,15.0012.0006.00,150012000600(G),15,6,12,30,1080,10.7329
90,15.0011.0006.00,150011000600(G),15,6,11,30,990,9.84578333333333
91,15.0012.0006.50,150012000650(H),15,6.5,12,30,1170,11.612725
92,15.0012.0004.00,150012000400(G),15,4,12,30,720,7.2136
93,15.0012.0007.50,150012000750(H),15,7.5,12,30,1350,13.372375
94,15.0012.0007.00,150012000700(H),15,7,12,30,1260,12.49255
95,15.0012.0009.50,150012000950(D),15,9.5,12,30,1710,16.891675
96,15.0012.0010.00,150012001000(D),15,10,12,30,1800,17.7715
97,15.0012.0005.50,150012000550(G),15,5.5,12,30,990,9.853075
98,15.0008.0004.50,150008000450(C),15,4.5,8,30,540,5.41749166666667
99,15.0012.0009.00,150012000900(D),15,9,12,30,1620,16.01185
100,16.0012.5004.50,160012500450(K),16,4.5,12.5,30,900,8.98613194444444
101,16.0010.0004.50,160010000450(C),16,4.5,10,30,720,7.20290555555556
102,16.0011.5006.50,160011500650(B),16,6.5,11.5,30,1196,11.8701536111111
103,16.0011.0009.00,160011000900(B),16,9,11,30,1584,15.6612811111111
104,16.0012.5010.00,160012501000(D),16,10,12.5,30,2000,19.7315277777778
105,16.0011.5004.50,160011500450(G),16,4.5,11.5,30,828,8.27284138888889
106,16.0012.5005.50,160012500550(K),16,5.5,12.5,30,1100,10.9398402777778
107,16.0011.0006.00,160011000600(G),16,6,11,30,1056,10.4978911111111
108,16.0011.5007.00,160011500700(B),16,7,11.5,30,1288,12.7694816666667
109,16.0012.5009.50,160012500950(D),16,9.5,12.5,30,1900,18.7546736111111
110,16.0012.0008.00,160012000800(H),16,8,12,30,1536,15.1961244444444
111,16.0012.5006.50,160012500650(D),16,6.5,12.5,30,1300,12.8935486111111
112,16.0012.5006.00,160012500600(D),16,6,12.5,30,1200,11.9166944444444
113,16.0012.5010.50,160012501050(D),16,10.5,12.5,30,2100,20.7083819444444
114,16.0012.5009.00,160012500900(D),16,9,12.5,30,1800,17.7778194444444
115,16.0012.5012.50,160012501250(F),16,12.5,12.5,30,2500,24.6157986111111
116,16.0012.0008.50,160012000850(D),16,8.5,12,30,1632,16.1342155555556
117,16.0012.5007.00,160012500700(D),16,7,12.5,30,1400,13.8704027777778
118,16.0010.5008.00,160010500800(B),16,8,10.5,30,1344,13.3121644444444
119,16.0012.0005.00,160012000500(G),16,5,12,30,960,9.56757777777778
120,16.0012.5004.00,160012500400(K),16,4,12.5,30,800,8.00927777777778
121,16.0008.0005.00,160008000500(C),16,5,8,30,640,6.40431111111111
122,16.0011.0011.00,160011001100(D),16,11,11,30,1936,19.1035411111111
123,16.0009.5009.50,160009500950(B),16,9.5,9.5,30,1444,14.2890186111111
124,16.0011.5005.00,160011500500(G),16,5,11.5,30,920,9.17216944444444
125,16.0012.5007.50,160012500750(D),16,7.5,12.5,30,1500,14.8472569444444
126,16.0011.5009.50,160011500950(B),16,9.5,11.5,30,1748,17.2661219444444
127,16.0011.5004.00,160011500400(G),16,4,11.5,30,736,7.37351333333333
128,16.0011.5005.50,160011500550(G),16,5.5,11.5,30,1012,10.0714975
129,16.0011.5007.50,160011500750(B),16,7.5,11.5,30,1380,13.6688097222222
130,16.0012.5005.00,160012500500(K),16,5,12.5,30,1000,9.96298611111111
131,16.0012.5008.50,160012500850(D),16,8.5,12.5,30,1700,16.8009652777778
132,17.0010.0004.00,170010000400(C),17,4,10,30,680,6.81867777777778
133,17.0010.0004.50,170010000450(C),17,4.5,10,30,765,7.65035277777778
134,17.0011.5010.00,170011501000(B),17,10,11.5,30,1955,19.2938027777778
135,17.0012.5004.00,170012500400(K),17,4,12.5,30,850,8.50681944444444
136,17.0012.5004.50,170012500450(K),17,4.5,12.5,30,956.25,9.54434722222222
137,17.0012.5010.00,170012501000(D),17,10,12.5,30,2125,20.9571527777778
138,17.0013.5006.50,170013500650(L),17,6.5,13.5,30,1491.75,14.7814205555556
139,17.0013.5008.50,170013500850(L),17,8.5,13.5,30,1950.75,19.2608961111111
140,17.0013.5013.50,170013501350(F),17,13.5,13.5,30,3098.25,30.459585
141,17.0012.5005.00,170012500500(K),17,5,12.5,30,1062.5,10.581875
142,17.0012.5008.50,170012500850(D),17,8.5,12.5,30,1806.25,17.8445694444444
143,17.0013.5006.00,170013500600(L),17,6,13.5,30,1377,13.6615516666667
144,17.0012.5012.50,170012501250(F),17,12.5,12.5,30,2656.25,26.1447916666667
145,17.0013.0004.50,170013000450(K),17,4.5,13,30,994.5,9.92314611111111
146,17.0013.5008.00,170013500800(L),17,8,13.5,30,1836,18.1410272222222
147,17.0010.5009.00,170010500900(B),17,9,10.5,30,1606.5,15.8847616666667
148,17.0012.5007.00,170012500700(D),17,7,12.5,30,1487.5,14.7319861111111
149,17.0013.0011.00,170013001100(J),17,11,13,30,2431,23.9462244444444
150,17.0011.0008.00,170011000800(B),17,8,11,30,1496,14.8060633333333
151,17.0012.5006.00,170012500600(D),17,6,12.5,30,1275,12.6569305555556
152,17.0011.0011.00,170011001100(D),17,11,11,30,2057,20.29016
153,17.0011.5004.50,170011500450(G),17,4.5,11.5,30,879.75,8.78674944444444
154,17.0010.0010.00,170010001000(B),17,10,10,30,1700,16.7987777777778
155,17.0012.0012.00,170012001200(F),17,12,12,30,2448,24.1109066666667
156,17.0012.5006.50,170012500650(D),17,6.5,12.5,30,1381.25,13.6944583333333
157,17.0013.5009.00,170013500900(F),17,9,13.5,30,2065.5,20.380765
158,17.0011.5009.00,170011500900(B),17,9,11.5,30,1759.5,17.3834294444444
159,17.0010.0007.50,170010000750(B),17,7.5,10,30,1275,12.6404027777778
160,17.0013.0010.50,170013001050(E),17,10.5,13,30,2320.5,22.8675261111111
161,17.0012.0004.50,170012000450(G),17,4.5,12,30,918,9.16554833333333
162,17.0013.0010.00,170013001000(E),17,10,13,30,2210,21.7888277777778
163,17.0011.5005.50,170011500550(G),17,5.5,11.5,30,1075.25,10.6971227777778
164,17.0012.5007.50,170012500750(D),17,7.5,12.5,30,1593.75,15.7695138888889
165,18.0009.0009.00,180009000900(D),18,9,9,30,1458,14.43429
166,18.0010.0004.00,180010000400(C),18,4,10,30,720,7.21748888888889
167,18.0010.0005.00,180010000500(C),18,5,10,30,900,8.97811111111111
168,18.0010.0006.50,180010000650(C),18,6.5,10,30,1170,11.6190444444444
169,18.0010.0007.50,180010000750(H),18,7.5,10,30,1350,13.3796666666667
170,18.0010.5009.50,180010500950(D),18,9.5,10.5,30,1795.5,17.7376441666667
171,18.0011.0004.00,180011000400(G),18,4,11,30,792,7.93223777777778
172,18.0011.0008.00,180011000800(H),18,8,11,30,1584,15.6719755555556
173,18.0013.5011.50,180013501150(F),18,11.5,13.5,30,2794.5,27.4994725
174,18.0011.5004.50,180011500450(G),18,4.5,11.5,30,931.5,9.3006575
175,18.0012.0005.50,180012000550(G),18,5.5,12,30,1188,11.8108566666667
176,18.0011.5004.00,180011500400(G),18,4,11.5,30,828,8.28961222222222
177,18.0009.0004.50,180009000450(C),18,4.5,9,30,729,7.295895
178,18.0014.0006.00,180014000600(L),18,6,14,30,1512,14.9922266666667
179,18.0011.0004.50,180011000450(G),18,4.5,11,30,891,8.899705
180,18.0014.0005.00,180014000500(K),18,5,14,30,1260,12.5343555555556
181,18.0013.5007.00,180013500700(L),18,7,13.5,30,1701,16.831255
182,18.0012.5009.50,180012500950(D),18,9.5,12.5,30,2137.5,21.0845763888889
183,18.0011.5011.50,180011501150(J),18,11.5,11.5,30,2380.5,23.4552913888889
184,18.0012.5005.50,180012500550(K),18,5.5,12.5,30,1237.5,12.2989652777778
185,18.0012.5009.00,180012500900(D),18,9,12.5,30,2025,19.986375
186,18.0013.0007.50,180013000750(E),18,7.5,13,30,1755,17.3541916666667
187,18.0012.5012.50,180012501250(F),18,12.5,12.5,30,2812.5,27.6737847222222
188,18.0011.5008.00,180011500800(H),18,8,11.5,30,1656,16.3779744444444
189,18.0014.0011.50,180014001150(F),18,11.5,14,30,2898,28.5105177777778
190,18.0011.5009.00,180011500900(D),18,9,11.5,30,1863,18.400065
191,18.0013.5013.50,180013501350(F),18,13.5,13.5,30,3280.5,32.2409025
192,18.0014.0010.00,180014001000(F),18,10,14,30,2520,24.8237111111111
