SKU ID,Name,Category,Length,Width,Height,Weight,Fragility, Rigidity
1011-1901,eCoin Patient Kit,Urology,10.5,7,2.25,1.1,Medium,Rigid Box
1011-2447,eCoin Device Kit,Urology,10.5,7,2.25,1.1,Medium,Rigid Box
1011-2700,eCoin Procedural Kit,Urology,13.75,12.5,6.06,5.29,Medium,Rigid Box
H7493933515060,GUIDEZILLA II 6F,Cardiology,11.250,9.813,0.550,0.296,Low,Rigid Box
M00536160,ADVANIX PANC STENT STRT 4FRX6CM,Gastrology,7.25,4.5,.5625,0.12,High,Rigid Box
M00561600,CAPTIVATOR EMR STANDARD SCOPE BOX 1,Gastrology,12.75,11.8125,4.3125,1.704,Low,Rigid Box
M00561610,CAPTIVATOR EMR LARGE SCOPE BOX 1,,12.75,11.8125,4.3125,1.666,Low,Rigid Box
M00561611,CAPTIVATOR EMR LARGE SCOPE BOX 5,,21,13.1875,12.625,9.558,Low,Rigid Box
M365DB71640,CLINICIAN PROGRAMMER,Neurology,12.75,9.125,2,3.59,Low,Rigid Box
1011-2813,eCoin Aftercare Kit,Urology,14.5,10,3,0.84,Low,Soft Bag
M00561601,CAPTIVATOR EMR STANDARD SCOPE BOX 5,Gastrology,21,13.1875,12.625,9.74,Medium,Soft Bag
